i_episode 233	reward_accu: 72 	action_length: 523
i_episode 234	reward_accu: 72 	action_length: 508
i_episode 235	reward_accu: 72 	action_length: 506
i_episode 236	reward_accu: 72 	action_length: 523
i_episode 237	reward_accu: 72 	action_length: 514
i_episode 238	reward_accu: 72 	action_length: 530
i_episode 239	reward_accu: 72 	action_length: 527
i_episode 240	reward_accu: 72 	action_length: 525
i_episode 241	reward_accu: 72 	action_length: 514
i_episode 242	reward_accu: 72 	action_length: 545
i_episode 243	reward_accu: 72 	action_length: 505
i_episode 244	reward_accu: 72 	action_length: 513
i_episode 245	reward_accu: 72 	action_length: 535
i_episode 246	reward_accu: 72 	action_length: 563
i_episode 247	reward_accu: 72 	action_length: 526
i_episode 248	reward_accu: 72 	action_length: 515
i_episode 249	reward_accu: 72 	action_length: 506
i_episode 250	reward_accu: 72 	action_length: 517
